NO_TRACE                                   | Richard Pennant (1737-1808) [UK/Jamaica] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John J. Pettus (1813-1867) [US-MS] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Judith Philip (1760-1848) [Grenada] canon=0/0 lead=12/0
NAMESAKES_ONLY (absent for intended)       | Thomas Phillips (1760-1851) [Wales] canon=14/0 lead=8/0
NAMESAKES_ONLY (absent for intended)       | John Pinney (1740-1818) [UK/Nevis] canon=2/0 lead=3/0
NAMESAKES_ONLY (absent for intended)       | Plato (-428--348) [Greece] canon=18/0 lead=53/0
NO_TRACE                                   | Susanna du Plessis (1739-1795) [Surinam] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James K. Polk (1795-1849) [US-TN] canon=6/0 lead=14/0
NO_TRACE                                   | Leonidas Polk (1806-1864) [US-TN] canon=0/0 lead=0/0
NO_TRACE                                   | Samuel Polk (1772-1827) [US-TN] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Sarah Childress Polk (1803-1891) [US-TN] canon=1/0 lead=3/0
NAMESAKES_ONLY (absent for intended)       | Alexander Porter (1785-1844) [US-LA] canon=10/0 lead=24/0
NO_TRACE                                   | Mattia Preti (1613-1699) [Italy/Malta] canon=0/0 lead=0/0
NO_TRACE                                   | Rachael Pringle Polgreen (1753-1791) [Barbados] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John A. Quitman (1798-1858) [US-MS] canon=1/0 lead=0/0
NO_TRACE                                   | Edmund Randolph (1753-1813) [US-VA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John Randolph (1773-1833) [US-VA] canon=15/0 lead=25/0
NAMESAKES_ONLY (absent for intended)       | John Reynolds (1788-1865) [US-IL] canon=14/0 lead=28/0
NAMESAKES_ONLY (absent for intended)       | George R. Reeves (1826-1882) [US-TX] canon=2/0 lead=3/0
NAMESAKES_ONLY (absent for intended)       | Daniel Robertson (1733-1810) [UK/Canada] canon=3/0 lead=5/0
NAMESAKES_ONLY (absent for intended)       | Thomas B. Robertson (1779-1828) [US-LA] canon=8/0 lead=8/0
NAMESAKES_ONLY (absent for intended)       | William Barton Rogers (1804-1882) [US-VA/MA] canon=25/0 lead=26/0
NO_TRACE                                   | Juan Manuel de Rosas (1793-1877) [Argentina] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Mary Johnston Rose (1718-1783) [Jamaica] canon=9/0 lead=10/0
NAMESAKES_ONLY (absent for intended)       | Isaac Ross (1760-1836) [US-MS] canon=8/0 lead=12/0
NO_TRACE                                   | Anne Rossignol (1730-1810) [Senegal/France] canon=0/0 lead=0/0
NO_TRACE                                   | Isaac Royall Jr. (1719-1781) [US-MA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Peter Russell (1733-1808) [Canada] canon=1/0 lead=3/0
NAMESAKES_ONLY (absent for intended)       | John Rutledge (1739-1800) [US-SC] canon=6/0 lead=6/0
NO_TRACE                                   | Elisabeth Samson (1715-1771) [Surinam] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Ana Joaquina dos Santos e Silva (1788-1859) [Angola] canon=12/0 lead=2/0
NO_TRACE                                   | Ibn Saud (1875-1953) [SaudiArabia] canon=0/0 lead=0/0
NO_TRACE                                   | Ernst Heinrich von Schimmelmann (1747-1831) [Denmark/StCroix] canon=0/0 lead=0/0
NO_TRACE                                   | Sally Seymour (?-1824) [US-SC] canon=0/0 lead=0/0
